ID|Corporation Name|Month Of Contribution|Due Date|Date Filed|Amount|Status|Reduced|Order Signed|Date Paid|Interest Paid
3895|Friends of NE Racing, Inc.|April|05/10/2012|09/05/2012|750.00|PAID|||09/24/2012|
3896|McNeil Industrial, Inc.|January|09/10/2012|09/19/2012|225.00|REDUCED|0.00|11/06/2012||
3897|Clark Enersen Partners|July|08/10/2012|09/26/2012|750.00|RED/PAID|25.00|11/30/2012|11/30/2012|
3905|M.C. Egan Insurance|September|10/10/2012|10/29/2012|475.00|REDUCED|0.00|11/13/2012||
3906|Shelby Lumber Company, Inc.|April|05/10/2012|11/02/2012|750.00|REDUCED|0.00|11/21/2012||
3924|Eagle Distributing, Inc.|January|04/10/2012|12/17/2012|750.00|PAID|||01/14/2013|
3934|Pig Express|November|12/10/2012|02/05/2013|750.00|RED/PAID|25.00|02/25/2013|02/22/2013|
3935|Preister Well & Backhoe, Inc.|October|11/13/2012|02/05/2013|750.00|REDUCED|0.00|02/15/2013||
3938|Ho-Chunk, Inc.|September|10/10/2012|02/13/2013|750.00|RED/PAID|25.00|05/31/2013|05/31/2013|
3946|Kooper-Fellman, LTD|June|07/10/2012|02/06/2013|750.00|RED/PAID|25.00|03/22/2013|03/22/2013|
3947|Cox Communications|January|02/11/2013|02/13/2013|50.00|PAID|||03/13/2013|
3948|The Schemmer Associates, Inc.|October|11/13/2012|02/20/2013|750.00|REDUCED|0.00|03/04/2013||
3949|Time Warner Cable|October|11/13/2012|02/26/2013|750.00|REDUCED|0.00|03/11/2013||
3961|Amcon Distributing Company|February|03/11/2013|03/22/2013|275.00|REDUCED|0.00|04/01/2013||
3964|Meco-Henne Contracting, Inc.|February|03/11/2013|03/18/2013|175.00|REDUCED|0.00|04/01/2013||
3967|A.C. Nelsen Enterprises, Inc.|July|08/10/2012|03/25/2013|750.00|PAID|||04/29/2013|
3973|Firstar Fiber, Inc.|March|04/10/2013|04/15/2013|125.00|RED/PAID|25.00|05/02/2013|05/02/2013|
3982|WDD Inc. dba Pella Products |January|02/11/2013|03/27/2013|750.00|RED/PAID|25.00|04/17/2013|04/17/2013|
3986|STV Incorporated|February|03/11/2013|04/19/2013|750.00|REDUCED|0.00|04/25/2013||
3988|Urban Village|January|02/11/2013|04/18/2013|750.00|RED/PAID|25.00|05/01/2013|05/01/2013|
3989|Vann Realty Company|December|01/10/2013|04/15/2013|750.00|REDUCED|0.00|04/25/2013||
3993|Mechanical Contractors Assn of Omaha|January|02/10/2011|04/15/2013|750.00|REDUCED|0.00|05/01/2013||
3999|K & Z Distributing Company|February|03/11/2013|05/02/2013|750.00|REDUCED|0.00|05/13/2013||
4009|Bear Properties, Inc.|January|02/11/2013|05/17/2013|750.00|REDUCED|0.00|05/23/2013||
4014|Elify, Inc/V180 Media|April|05/10/2013|02/04/2013|750.00|REDUCED|0.00|07/19/2013||
4019|Roloff Construction Company|September|10/10/2012|04/25/2013|750.00|PAID|||06/11/2013|
4020|Cambium Data, Inc.|November|12/20/2012|06/18/2013|750.00|REDUCED|0.00|06/27/2013||
4023|Lund Company Investment, Inc.|March|04/10/2013|06/11/2013|750.00|REDUCED|0.00|06/27/2013||
4027|CSG Systems International, Inc.|February|03/11/2013|06/28/2013|750.00|REDUCED|0.00|07/03/2013||
4029|Cost of Discipleship Foundation|March|04/10/2013|07/05/2013|740.00|REDUCED|0.00|07/10/2013||
4032|Ebay, Inc.|March|04/10/2013|06/24/2013|750.00|REDUCED|0.00|07/05/2013||
4033|Health Care Information Systems|May|06/10/2013|07/11/2013|750.00|REDUCED|0.00|07/18/2013||
4046|Infrastructure Engineering, Inc.|February|03/11/2013|07/18/2013|750.00|REDUCED|0.00|08/08/2013||
4048|Great Plains Communications|June|07/10/2013|08/01/2013|550.00|REDUCED|0.00|08/21/2013||
4055|Mainelli Mechanical Contractors, Inc.|March|04/10/2013|08/06/2013|750.00|REDUCED|0.00|08/16/2013||
4056|Navarro Enterprise Construction, Inc.|May|06/10/2013|08/07/2013|750.00|REDUCED|0.00|08/16/2013||
4058|Deffenbaugh Industries, Inc.|June|06/10/2013|01/01/1900|750.00|PAID|||08/12/2013|
4083|Cheever Construction Company|December|01/10/2014|01/28/2014|450.00|REDUCED|0.00|02/13/2014||
4094|O'Hara Lindsay & Associates|December|01/10/2014|01/15/2014|125.00|REDUCED|0.00|02/20/2014||
4114|Midlands Testing Services|November|12/10/2013|01/23/2014|750.00|RED/PAID|25.00|02/21/2014|02/21/2014|
4127|IBEW Local 1483|January|01/10/2014|02/05/2014|650.00|REDUCED|0.00|03/05/2014||
4135|Ron Romero Consulting, Inc.|October|11/12/2013|02/03/2014|750.00|PAID|||05/05/2014|
4140|37 Land & Cattel Company dba R & B Seed|November|12/10/2013|02/26/2014|750.00|REDUCED|0.00|03/17/2014||
4141|Advanced Engineering Systems|December|01/10/2014|02/28/2014|750.00|REDUCED|0.00|03/17/2014||
4146|Facebook|May|06/10/2013|02/28/2014|750.00|REDUCED|0.00|03/17/2014||
4150|Hancock & Dana, PC|September|10/10/2013|03/07/2014|750.00|REDUCED|0.00|03/19/2014||
4159|Las Vegas Sands Corporation|November|12/10/2013|03/03/2014|750.00|PAID|||04/23/2014|
4167|Stalnaker Becker & Buresh PC|December|01/10/2014|02/28/2014|750.00|REDUCED|0.00|03/17/2014||
4175|NE Podiatry Association|December|01/10/2014|03/14/2014|750.00|PAID|||03/14/2014|
4178|Planetary Data, Inc.|November|12/10/2013|02/24/2014|750.00|REDUCED|0.00|03/20/2014||
4181|Allied Oil & Tire Company|September|10/10/2013|03/17/2014|750.00|REDUCED|0.00|04/08/2014||
4182|Ambassador Title Services|November|12/10/2013|03/18/2014|750.00|REDUCED|0.00|04/08/2014||
4183|AVG-CFM Coventry Estates, LLC|February|03/10/2014|03/12/2014|50.00|PAID|||04/18/2014|
4199|Valuation Services|September|10/10/2013|03/12/2014|750.00|REDUCED|0.00|04/07/2014||
4245|Jerry's Sheet Metal Heating & Cooling, Inc.|March|04/10/2014|04/28/2014|450.00|REDUCED|0.00|06/04/2014||
4253|Alfred Benesch & Company|April|05/12/2014|05/23/2014|275.00|REDUCED|0.00|06/10/2014||
4261|Farnam Capitol Advisors LLC|March|04/10/2014|05/16/2014|750.00|REDUCED|0.00|06/05/2014||
4263|Five Points Bank|January|05/12/2014|05/20/2014|200.00|REDUCED|0.00|06/09/2014||
4272|Stefka Agency Inc. dba Commercial Investment Svrs|February|03/10/2014|05/09/2014|750.00|REDUCED|0.00|06/09/2014||
4273|Stefka Agency Inc dba Commercial Investment Svcs|March|04/10/2014|05/09/2014|725.00|RED/PAID|25.00|06/09/2014|06/09/2014|
4317|Conway, Pauley & Johnson, PC|April|05/12/2014|06/10/2014|725.00|REDUCED|0.00|06/19/2014||
4318|Don Peterson & Associates|April|05/12/2014|06/13/2014|750.00|REDUCED|0.00|06/23/2014||
4321|Gene Steffy Ford|April|05/12/2014|06/11/2014|750.00|REDUCED|0.00|06/23/2014||
4323|Gottschalk's Athletic, LLC|July|08/12/2014|06/13/2014|750.00|REDUCED|0.00|06/20/2014||
4324|Green Plains|May|06/10/2014|06/13/2014|75.00|PAID|||06/27/2014|
4331|Sierra Trucking LLC|April|05/12/2014|06/11/2014|750.00|REDUCED|0.00|06/20/2014||
4332|Smithaca, LLC|March|04/10/2014|06/09/2014|750.00|REDUCED|0.00|06/23/2014||
4333|States Family Practice|April|05/12/2014|06/13/2014|750.00|REDUCED|0.00|06/20/2014||
4336|Pinnacle Bank|April|05/12/2014|06/10/2014|725.00|PAID|||06/30/2014|
3855|Almquist Maltzahn Galloway & Luth PC|April|05/10/2012|06/04/2012|625.00|REDUCED|0.00|06/26/2012||
3860|Fremont Beef Company|February|03/12/2012|05/29/2012|750.00|REDUCED|0.00|07/02/2012||
3876|M.E. Group, Inc.|March|04/10/2012|06/27/2012|750.00|REDUCED|0.00|08/08/2012||
3879|Futures Group, Inc.|May|06/11/2012|07/19/2012|750.00|REDUCED|0.00|07/25/2012||
3884|Jon Gilfry Investments Co.|February|03/12/2012|08/06/2012|750.00|REDUCED|0.00|08/15/2012||
3886|Wal-Mart Stores, Inc.|January|04/10/2012|08/06/2012|750.00|RED/PAID|25.00|09/17/2012|09/17/2012|
3900|Anheuser-Busch Companies|September|10/10/2012|10/15/2012|125.00|REDUCED|0.00|11/19/2012||
3901|Kiewit Corporation|January|09/10/2012|10/17/2012|750.00|PAID|||11/07/2012|
3909|Cargill, Incorporated|September|10/10/2012|10/29/2012|475.00|REDUCED|0.00|11/15/2012||
3910|Creston Fertilizer Company, Inc.|September|10/10/2012|11/05/2012|650.00|RED/PAID|25.00|11/28/2012|11/28/2012|
3912|Makovicka/Sylliaasen, PC|August|09/10/2012|11/13/2012|750.00|REDUCED|0.00|11/21/2012||
3913|NE State Council of Machinists|October|11/13/2012|11/15/2012|50.00|REDUCED|0.00|11/26/2012||
3914|NE State Council of Machinists|July|08/10/2012|11/15/2012|750.00|REDUCED|0.00|11/26/2012||
3918|RDG Schutte Wilscam Birge|October|11/13/2012|11/30/2012|425.00|PAID|||12/17/2012|
3919|Blue Cross Blue Shield of NE|January|11/13/2012|12/12/2012|725.00|REDUCED|0.00|12/21/2012||
3926|IBEW Local 22|January|12/10/2012|12/27/2012|425.00|PAID|||01/16/2013|
3933|Mead Lumber Company, Inc.|March|04/10/2012|02/06/2013|750.00|REDUCED|0.00|02/15/2013||
3936|Banyan Medical Systems, Inc.|July|08/10/2012|02/15/2013|750.00|REDUCED|0.00|02/22/2013||
3939|Rebecca F. Scott DDS PC|November|12/10/2012|02/12/2013|750.00|REDUCED|0.00|02/22/2013||
3941|Christensen Lumber, Inc.|August|09/10/2012|03/01/2013|750.00|REDUCED|0.00|03/14/2013||
3944|ESP, Inc. Engineering-Surveying-Planning, Inc.|October|11/13/2012|02/15/2013|750.00|REDUCED|0.00|02/26/2013||
3950|Waste Connections, Inc.|November|12/10/2012|02/25/2013|750.00|REDUCED|0.00|03/11/2013||
3954|Credit Management Services, Inc.|August|09/10/2012|03/14/2013|750.00|REDUCED|0.00|03/26/2013||
3963|Roloff Construction Co. (aka L.G.Roloff)|January|02/11/2013|03/04/2013|525.00|REDUCED|0.00|03/28/2013||
3968|League of Nebraska Municipalities|November|12/10/2012|03/25/2013|750.00|REDUCED|0.00|04/09/2013||
3969|Omaha Marine Center, Inc.|July|08/10/2012|03/25/2013|750.00|REDUCED|0.00|04/09/2013||
3975|Kabredlo's |January|03/11/2013|04/09/2013|725.00|REDUCED|0.00|04/18/2013||
4010|Kooper-Fellman Partnership|April|05/10/2013|05/17/2013|175.00|PAID|||06/07/2013|
4028|Concentric Corporation|February|03/11/2013|07/11/2013|750.00|REDUCED|0.00|07/18/2013||
4031|Dostals Contruction Co, Inc.|March|04/10/2013|07/10/2013|750.00|REDUCED|0.00|07/10/2013||
4039|San Patricio, Inc.|April|05/10/2013|06/24/2013|750.00|REDUCED|0.00|07/03/2013||
4042|Apollo Group, Inc.|December|01/10/2013|07/17/2013|750.00|REDUCED|0.00|07/29/2013||
4045|Nu Skin Enterprises|September|10/10/2012|07/15/2013|750.00|REDUCED|0.00|07/29/2013||
4049|Belloma, Inc.|May|06/10/2013|07/30/2013|750.00|REDUCED|0.00|08/09/2013||
4057|Millennium Homes, Inc.|April|05/10/2013|08/14/2013|750.00|REDUCED|0.00|08/21/2013||
4068|Appel Crop Consulting, Inc.|January|11/12/2013|11/21/2013|225.00|REDUCED|0.00|12/05/2013||
4070|Lamar Companies, The|January|11/12/2013|11/21/2013|225.00|RED/PAID|25.00|12/09/2013|12/09/2013|
4071|McNair Agency|January|10/10/2013|11/19/2013|750.00|REDUCED|0.00|12/06/2013||
4072|Turnwest Farms|January|11/12/2013|11/25/2013|325.00|REDUCED|0.00|12/20/2013||
4080|Brown Construction|January|11/12/2013|01/13/2014|750.00|PAID|||02/28/2014|
4086|D.M. Schluntz Corporation|December|01/10/2014|01/14/2014|100.00|REDUCED|0.00|02/11/2014||
4096|Redstone Communications|November|12/10/2013|12/18/2013|200.00|REDUCED|0.00|01/10/2014||
4097|ReadyTech-Go, Inc. dba RTG Medical|March|04/10/2013|01/30/2014|750.00|REDUCED|0.00|04/14/2014||
4103|REGA Engineering Group|December|01/10/2014|01/29/2014|475.00|REDUCED|0.00|02/14/2014||
4104|Rusty's Fertilizer, Inc.|January|11/12/2013|01/13/2014|750.00|PAID|||02/28/2014|
4105|Sinclir Hille Architects|December|01/10/2014|01/29/2014|475.00|REDUCED|0.00|02/13/2014||
4145|Brumbaugh & Quandahl PC|November|12/10/2013|02/27/2014|750.00|PAID|||03/24/2014|
4149|Farmers Mutual Insurance Company of NE|January|02/10/2014|03/05/2014|575.00|REDUCED|0.00|03/19/2014||
4155|Keystone Automotive Industries dba LKQ Corporation|July|08/12/2013|03/03/2014|750.00|RED/PAID|25.00|03/31/2014|03/31/2014|
4168|WilliamTerrace Apartments, Inc.|December|01/10/2014|03/03/2014|750.00|REDUCED|0.00|03/19/2014||
4170|Alvine and Associates Inc|December|01/10/2014|03/07/2014|750.00|REDUCED|0.00|03/20/2014||
4177|Omaha Neon Sign Company, Inc.|January|02/11/2013|03/07/2014|750.00|REDUCED|0.00|03/20/2014||
4184|Campbell Family Properties PC|February|03/11/2013|03/07/2014|750.00|REDUCED|0.00|04/08/2014||
4189|Excel Health Services, Inc. dba Excel Development Group|December|01/10/2014|03/14/2014|750.00|REDUCED|0.00|04/07/2014||
4226|Makovicka Sylliaasen PC|September|10/10/2013|03/24/2014|750.00|REDUCED|0.00|04/21/2014|04/21/2014|
4191|Foresight Security Solutions, Inc.|January|02/11/2013|03/10/2014|750.00|REDUCED|0.00|04/07/2014||
4195|NE State AFL-CIO|November|12/10/2013|03/10/2014|750.00|REDUCED|0.00|05/15/2014||
4197|Panda, Inc.|September|10/10/2013|03/14/2014|750.00|REDUCED|0.00|04/07/2014||
4204|Dubas Refridgeration, Inc.|September|10/10/2013|03/25/2014|750.00|REDUCED|0.00|04/10/2014||
4207|Intel Corporation|July|08/12/2013|03/24/2014|750.00|REDUCED|0.00|04/10/2014||
4208|Intel Corporation|July|08/12/2013|03/24/2014|750.00|REDUCED|0.00|04/10/2014||
4210|Joseph R. Hewgley & Associates, Inc.|November|12/10/2013|04/04/2014|750.00|REDUCED|0.00|04/18/2014||
4213|Monsanto  Company - IA|June|07/10/2013|03/17/2014|750.00|RED/PAID|25.00|07/23/2014|07/23/2014|
4217|Parking Management & Consultants|December|01/10/2014|03/17/2014|750.00|REDUCED|0.00|04/11/2014||
4221|Signal Restoration Services|February|03/10/2014|04/03/2014|600.00|PAID|||05/01/2014|
4223|UnitedHealth Group, Inc.|January|02/11/2013|03/25/2014|750.00|PAID|||04/28/2014|
4224|Urban Village Development|May|06/10/2013|03/17/2014|750.00|PAID|||04/17/2014|
4227|Makovicka Sylliaasen PC|January|02/10/2014|03/24/2014|750.00|RED/PAID|25.00|04/21/2014|04/21/2014|
4229|Blue Cross Blue Shield of NE|February|03/10/2014|03/27/2014|425.00|RED/PAID|25.00|04/21/2014|04/21/2014|
4246|McArdle Grading Company|March|04/10/2014|04/21/2014|275.00|REDUCED|0.00|06/04/2014||
4248|Public Risk Management, Inc.|March|04/10/2014|04/30/2014|500.00|REDUCED|0.00|05/21/2014||
4256|Bluestone Development LLC|April|05/12/2014|05/19/2014|175.00|RED/PAID|25.00|06/09/2014|06/09/2014|
4260|Cornhusker International Trucks|April|05/12/2014|05/19/2014|175.00|PAID|||06/16/2014|
4264|Gary Michaels Clothiers|March|04/10/2014|05/19/2014|750.00|REDUCED|0.00|05/30/2014||
4270|Seldin Company|April|05/12/2014|05/20/2014|200.00|REDUCED|0.00|06/12/2014||
4275|Village West LLC|March|04/10/2014|05/20/2014|750.00|REDUCED|0.00|05/30/2014||
4282|Seacrest & Kalkowski PC LLO|April|05/12/2014|05/20/2014|200.00|REDUCED|0.00|06/02/2014||
4300|First State Bank - Scottsbluff|January|02/20/2014|06/02/2014|750.00|REDUCED|0.00|06/13/2014||
4343|Ernst Auto, Inc.|March|04/10/2014|06/19/2014|750.00|REDUCED|0.00|07/02/2014||
4353|Bosselman Holdings, Inc.|March|04/10/2014|06/16/2014|750.00|REDUCED|0.00|07/14/2014||
4360|KPMG|April|05/12/2014|07/03/2014|750.00|PAID|||07/03/2014|
4372|Lakeside Orthopedics, PC|April|05/12/2014|06/30/2014|550.00|REDUCED|0.00|07/15/2014||
4373|LSR Farms, LLC|April|05/12/2014|06/30/2014|750.00|REDUCED|0.00|07/14/2014||
4376|Peabody Investment Corporation|April|05/12/2014|07/01/2014|750.00|REDUCED|0.00|07/14/2014||
4384|Frank Enterprises, Inc.|April|05/12/2014|06/12/2014|750.00|RED/PAID|25.00|07/30/2014|07/28/2014|
4390|Sawyer Construction Co.|May|06/10/2014|07/10/2014|750.00|RED/PAID|25.00|08/13/2014|08/12/2014|
4400|Cline Williams Wright Johnson & Oldfather LLP|March|04/10/2014|07/22/2014|750.00|REDUCED|0.00|08/05/2014||
4403|Big T Enterprises dba Interstate Battery of Sioux City|May|06/10/2014|07/25/2014|750.00|REDUCED|0.00|08/06/2014||
4422|Taylor Oil Company, Inc.|March|04/10/2014|07/30/2014|750.00|REDUCED|0.00|08/15/2014||
4429|Dana V Baker, PC, LLO|April|05/12/2014|08/12/2014|750.00|REDUCED|0.00|08/22/2014||
4438|Peitzmeier Demolition & Concrete Cutters, Inc.|January|02/10/2014|08/15/2014|750.00|REDUCED|0.00|08/22/2014||
4448|Vista Farms LLC|May|06/10/2014|08/01/2014|750.00|REDUCED|0.00|08/19/2014||
4455|Eisenmenger Farms, Inc.|January|02/10/2014|09/03/2014|750.00|REDUCED|0.00|09/12/2014||
4471|Western Union|October|11/13/2012|08/11/2014|750.00|REDUCED|0.00|10/21/2014||
4505|Kissel/Erickson Sederstrom & Associates|October|11/10/2014|11/12/2014|50.00|PAID|||11/19/2014|
4519|Floyd's Truck Center, Inc.|September|10/10/2014|12/01/2014|750.00|REDUCED|0.00|12/11/2014||
4603|Dyna-Tech Aviation Services, Inc.|October|11/10/2014|01/12/2015|750.00|REDUCED|0.00|01/28/2015||
4540|Tenaska, Inc.|October|11/10/2014|11/19/2014|225.00|PAID|||12/10/2014|
4541|Three Bar Cattle Company|September|10/10/2014|11/12/2014|750.00|REDUCED|0.00|12/01/2014||
4544|Valley Bank & Trust Company - Gering|October|11/10/2014|11/24/2014|350.00|REDUCED|0.00|12/11/2014||
4556|Jochim Precast Concrete, Inc.|October|11/10/2014|12/10/2014|750.00|REDUCED|0.00|12/23/2014||
4563|Pinnacle Bank|October|11/10/2014|11/26/2014|400.00|RED/PAID|25.00|12/15/2014|12/15/2014|
4566|Chadron Logistics Company|October|11/10/2014|12/17/2014|750.00|REDUCED|0.00|01/05/2015||
4567|Credit Bureau Services|September|10/10/2014|12/10/2014|750.00|REDUCED|0.00|12/23/2014||
4568|Custom Countertop, Inc.|August|09/10/2014|12/11/2014|750.00|REDUCED|0.00|12/23/2014||
4576|Palmer & Sons Refuse, Inc.|June|07/10/2014|12/15/2014|750.00|REDUCED||01/05/2015||
4594|Archer Daniels Midland Company|October|11/10/2014|12/29/2014|750.00|REDUCED|0.00|01/22/2015||
4600|Pfizer, Inc.|September|10/10/2014|01/06/2015|750.00|REDUCED|0.00|01/21/2015||
4614|Omaha & SW Iowa Building & Construction Trades Council|October|11/10/2014|01/12/2015|750.00|REDUCED|0.00|02/06/2015||
4623|Hershey Cooperative Telephone Company|January|02/10/2014|02/23/2015|750.00|REDUCED|0.00|03/13/2015||
4632|Wells Implement Inc.|September|10/10/2014|02/19/2015|750.00|REDUCED|0.00|02/19/2015||
4634|AJ Alloway Inc dba Deeb Realty|July|08/11/2014|03/04/2015|750.00|REDUCED|0.00|03/26/2015||
4643|John Roth & Son, Inc.|July|08/11/2014|03/12/2015|750.00|REDUCED|0.00|03/27/2015||
4653|TMCO, Inc.|December|01/12/2015|03/09/2015|750.00|REDUCED|0.00|03/27/2015||
4669|Lincoln Storage, LLC|December|01/12/2015|03/19/2015|750.00|REDUCED|0.00|04/09/2015||
4681|United Services Automobile Association|September|10/10/2014|03/17/2014|750.00|PAID|||05/07/2015|
4703|BC Linc|April|05/11/2015|05/20/2015|225.00|REDUCED|0.00|06/10/2015||
4704|Chateau Development LLC|March|04/10/2015|05/26/2015|750.00|REDUCED|0.00|06/10/2015||
4346|Pink Grading, Inc.|March|04/10/2014|06/16/2014|750.00|REDUCED|0.00|07/02/2014||
4348|Sawyer Construction|April|05/12/2014|06/17/2014|750.00|REDUCED|0.00|07/02/2014||
4350|Solomon Plumbing Company|April|05/12/2014|06/20/2014|750.00|REDUCED|0.00|07/02/2014||
4351|Viking Ship, Inc.|April|05/12/2014|06/16/2014|750.00|REDUCED|0.00|07/02/2014||
4355|Cassling|April|05/12/2014|06/25/2014|750.00|REDUCED|0.00|07/08/2014||
4359|Husker Investment Group, LLC|February|03/10/2014|06/17/2014|750.00|REDUCED|0.00|07/08/2014||
4363|Monsanto Company - IA|December|01/10/2013|03/19/2014|750.00|REDUCED|0.00|07/08/2014||
4382|BWJ, LLC|June|07/10/2014|07/11/2014|25.00|PAID|||08/06/2014|
4388|Polished Properties, LLC|April|05/12/2014|07/18/2014|750.00|REDUCED|0.00|05/01/2015||
4395|Victory Marine LLC|May|06/10/2014|07/07/2014|675.00|REDUCED|0.00|07/31/2014||
4409|Hergott Enterprises Inc|May|06/10/2014|07/25/2014|750.00|REDUCED|0.00|08/06/2014||
4418|KAAPA Ethanol LLC|January|06/10/2014|07/29/2014|750.00|REDUCED|0.00|08/15/2014||
4421|Mid America Bio Energy & Commodities LLC|June|07/10/2014|07/28/2014|450.00|REDUCED|0.00|08/18/2014||
4424|Union Pacific Railroad|April|05/12/2014|07/07/2014|750.00|REDUCED|0.00|08/11/2014||
4425|Upstream Brewing Company LLC|March|04/10/2014|07/28/2014|750.00|REDUCED|0.00|08/18/2014||
4428|City Discount Liquors|June|07/10/2014|08/14/2014|750.00|REDUCED|0.00|08/22/2014||
4430|Danielson Enterprises Inc dba Fastsigns|March|04/10/2014|08/11/2014|750.00|REDUCED|0.00|08/22/2014||
4434|Linpepco|January|08/11/2014|08/14/2014|75.00|PAID|||09/02/2014|
4435|McDermott & Miller PC|March|04/10/2014|08/11/2014|750.00|REDUCED|0.00|08/26/2014||
4436|NE Storage LLC|February|03/10/2014|08/05/2014|750.00|REDUCED|0.00|08/22/2014||
4442|Rutt's Heating & AC, Inc.|May|06/10/2014|07/31/2014|750.00|REDUCED|0.00|08/19/2014||
4453|Community Insurance Group, Inc.|May|06/10/2014|08/08/2014|750.00|REDUCED|0.00|08/28/2014||
4458|Horacio Wheelock Law Offices|May|06/10/2014|08/19/2014|750.00|REDUCED|0.00|08/20/2014||
4530|Middleton Electric Inc.|August|09/10/2014|11/19/2014|750.00|REDUCED|0.00|12/03/2014||
4464|Reimer Properties LLC|February|03/10/2014|08/27/2014|750.00|REDUCED|0.00|09/05/2014||
4465|Riekes Equipment Company|April|05/12/2014|08/28/2014|750.00|REDUCED|0.00|09/05/2014||
4492|Leadership for Educational Equity|August|09/10/2014|10/15/2014|750.00|PAID|||01/16/2015|
4490|Jon Gilfry Investments|July|08/11/2014|10/14/2014|750.00|REDUCED|0.00|11/04/2014||
4491|Leadership for Educational Equity|July|08/11/2014|10/15/2014|750.00|PAID|||01/16/2015|
4506|Nebraska Farm Bureau Federation|January|08/11/2014|11/04/2014|750.00|REDUCED|0.00|11/20/2014||
4507|Teamsters Joint Council No. 554/81 Drive|August|09/10/2014|11/06/2014|750.00|REDUCED|0.00|12/01/2014||
4527|Lottman Carpenter Construction, Inc.|October|11/10/2014|12/01/2014|525.00|REDUCED|0.00|12/11/2014||
4533|Omaha Magazine Ltd|October|11/10/2014|11/26/2014|400.00|REDUCED|0.00|12/05/2014||
4551|Croker Huck Kasher DeWitt Anderson & Gonderinger PC|October|11/10/2014|12/08/2014|700.00|REDUCED|0.00|12/23/2014||
4554|Farnham & Simpson PC LLO|September|10/10/2013|12/09/2014|750.00|REDUCED|0.00|12/23/2014||
4561|NE Gas Turbine Inc.|August|09/10/2014|12/08/2014|750.00|REDUCED|0.00|01/05/2015||
4609|Jeffrey F. Putnam PC LLO|October|11/10/2014|01/07/2015|750.00|RED/PAID|25.00|02/05/2015|02/05/2015|
4615|Trade Center Automotive Inc.|September|10/10/2014|01/14/2015|750.00|REDUCED|0.00|01/28/0215||
4619|Binder Irrigation, Inc.|September|10/10/2014|02/26/2015|750.00|REDUCED|0.00|03/13/2015||
4624|Martin Marietta|April|05/12/2014|02/23/2015|750.00|REDUCED|0.00||03/13/2015|
4628|Pine Lake SK LLC|August|09/10/2014|02/24/2015|750.00|REDUCED|0.00|03/13/2015||
4636|Cambridge Telephone Company|October|11/10/2014|02/26/2015|750.00|RED/PAID|25.00|03/25/2015|03/25/2015|
4647|NE Transport Company, Inc.|September|10/10/2014|03/03/2015|750.00|REDUCED|0.00|03/25/2015||
4657|Aulick Leasing Corporation|June|07/10/2014|04/16/2015|750.00|REDUCED|0.00|05/04/2015||
4660|Choice Care Chiropratic|October|11/10/2014|03/30/2015|750.00|REDUCED|0.00|05/04/2015||
4661|DC West PTSA|July|08/11/2014|03/03/2015|750.00|REDUCED|0.00|04/07/2015|04/07/2015|
4663|Eyman Plumbing, Inc.|June|07/10/2014|03/19/2015|750.00|REDUCED|0.00|04/09/2015||
4680|Tetrad Property Group, LLC|October|11/10/2014|03/20/2015|750.00|PAID|||07/13/2015|
4686|Heartland Strategy Group LLC|March|04/10/2015|04/29/2015|475.00|PAID|||05/14/2015|
4691|Civil Design Group, Inc.|January|05/11/2015|05/15/2015|100.00|REDUCED|00.00|05/28/2015||
4340|Charleston, Inc|May|06/10/2014|06/20/2014|250.00|REDUCED|0.00|07/02/2014||
4342|Columbus Medical Properties, LLC|April|05/12/2014|06/16/2014|750.00|REDUCED|0.00|07/02/2014||
4345|Meyring Cattle Company|January|05/12/2014|06/16/2014|750.00|REDUCED|0.00|07/02/2014||
4352|Wise-Mack, Inc.|March|04/10/2014|06/20/2014|750.00|REDUCED|0.00|07/02/2014||
4361|Legalzoom.com, Inc.|November|12/20/2012|06/23/2014|750.00|REDUCED|0.00|07/21/2014||
4367|Roadbuilders Machinery & Supply Company, Inc.|April|05/12/2014|06/16/2014|750.00|REDUCED|0.00|07/09/2014||
4371|Kelley & Jerram PC LLO|February|03/10/2014|06/20/2014|750.00|PAID|||07/10/2014|
4380|Associated Electrical Sales, Inc.|April|05/12/2014|07/11/2014|750.00|REDUCED|0.00|07/30/2014||
4385|Frank Enterprises, Inc.|May|06/10/2014|06/12/2014|50.00|PAID|||07/28/2014|
4394|Victor Outdoor Advertising|April|05/12/2014|07/11/2014|750.00|REDUCED|0.00|08/07/2014||
4398|Farmers & Merchants Investment Inc. |January|07/10/2014|07/21/2014|275.00|REDUCED|0.00|08/05/2014||
4401|Christensen Audiology & Hearing Aid Center|June|07/10/2014|07/22/2014|300.00|REDUCED|0.00|08/05/2014||
4402|Aksamit Resource Management LLC|June|07/10/2014|07/23/2014|325.00|REDUCED|0.00|08/06/2014||
4404|CP Strategies LLC|May|06/10/2014|07/24/2014|750.00|REDUCED|0.00|08/06/2014||
4427|Aquamotus, LLC|April|05/12/2014|08/12/2014|750.00|REDUCED|0.00|08/22/2014||
4444|Standard Ethanol LLC|June|07/10/2014|08/04/2014|625.00|REDUCED|0.00|08/22/2014||
4457|Hartington Shopper|January|02/10/2014|08/18/2014|750.00|REDUCED|0.00|08/29/2014||
4476|Nextera Energy Resource LLC|April|05/12/2014|08/28/2014|750.00|REDUCED|0.00|09/05/2014||
4487|Cross Financial Group|April|05/12/2014|10/03/2014|750.00|REDUCED|0.00|10/22/2014||
